,Name,Imports,,Name,,Unique Imports,,LOC,,Total Imports,,Intra Collab,,Extra Collab,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.GenericOptionsParser,,,,,,,,,,,,,,,,,
,,,294,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,63,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,118,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.PathFilter,,,,,,,,,,,,,,,,,
,,,72,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.JobConf,,,,,,,,,,,,,,,,,
,,,31,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,262,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,95,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,58,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
,,,70,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configured,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.LongWritable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapreduce.Job,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapreduce.lib.input.FileInputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapreduce.lib.output.TextOutputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapreduce.Mapper,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapreduce.Reducer,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.Tool,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.ToolRunner,,,,,,,,,,,,,,,,,
,,,209,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.StringUtils,,,,,,,,,,,,,,,,,
,,,81,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.util.StringUtils,,,,,,,,,,,,,,,,,
,,,159,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.MapFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.SequenceFile,,,,,,,,,,,,,,,,,
,,,99,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
,,,388,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.GenericWritable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
,,,57,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configured,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,146,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configurable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
,,,161,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configured,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.MapFile,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.MapFileOutputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.lib.HashPartitioner,,,,,,,,,,,,,,,,,
,,,129,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configuration,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.conf.Configured,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileStatus,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.FileSystem,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.fs.Path,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Text,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.BooleanWritable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.Writable,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.io.WritableUtils,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.FileInputFormat,,,,,,,,,,,,,,,,,
petar_r ,petar_r,import org.apache.hadoop.mapred.FileOutputFormat,,,,,,,,,,,,,,,,,
